name,price,currency,availability,url
"Meat Expert Chicken Biryani Cut, Premium Cut, Fresh & Tender, 1000g Pack",1080,PKR,InStock,https://www.naheed.pk/meat-expert-chicken-biryani-cut-premium-cut-fresh-tender-1000g-pack
"Meat Expert Chicken Mince, Freshly Minced, 1000g Pack",1510,PKR,InStock,https://www.naheed.pk/meat-expert-chicken-mince-freshly-minced-1000g-pack
"Meat Expert Chicken Thigh Boneless, Premium Cut, Fresh & Tender, 1000g Pack",1510,PKR,InStock,https://www.naheed.pk/meat-expert-chicken-thigh-boneless-premium-cut-fresh-tender-1000g-pack
"Meat Expert Organic Chicken, Premium Cut, Fresh & Tender, 1000g Pack",2450,PKR,InStock,https://www.naheed.pk/meat-expert-organic-chicken-premium-cut-fresh-tender-1000g-pack
"Meat Expert Chicken Tikka Leg, Premium Cut, Fresh & Tender, 1000g Pack",1210,PKR,InStock,https://www.naheed.pk/meat-expert-chicken-tikka-leg-premium-cut-fresh-tender-1000g-pack
"Meat Expert Chicken Thigh With Bone, Premium Cut, Fresh & Tender, 1000g Pack",1310,PKR,InStock,https://www.naheed.pk/meat-expert-chicken-thigh-with-bone-premium-cut-fresh-tender-1000g-pack
"Meat Expert Chicken Boneless, Premium Cut, Fresh & Tender, 1000g Pack",1510,PKR,InStock,https://www.naheed.pk/meat-expert-chicken-boneless-premium-cut-fresh-tender-1000g-pack
"Meat Expert Chicken Boneless Breast Cubes, Premium Cut, Fresh & Tender, 1000g Pack",1510,PKR,InStock,https://www.naheed.pk/meat-expert-chicken-boneless-breast-cubes-premium-cut-fresh-tender-1000g-pack
"Meat Expert Chicken Drumsticks, Premium Cut, Fresh & Tender, 1000g Pack",1210,PKR,InStock,https://www.naheed.pk/meat-expert-chicken-drumsticks-premium-cut-fresh-tender-1000g-pack
"Meat Expert Chicken Wings Without Skin, Premium Cut, Fresh & Tender, 1000g Pack",970,PKR,InStock,https://www.naheed.pk/meat-expert-chicken-wings-without-skin-premium-cut-fresh-tender-1000g-pack
"Meat Expert Chicken Boneless Strips, Premium Cut, Fresh & Tender, 1000g Pack",1510,PKR,InStock,https://www.naheed.pk/meat-expert-chicken-boneless-strips-premium-cut-fresh-tender-1000g-pack
"Meat Expert Chicken Karahi Cut, Premium Cut, Fresh & Tender, 1000g Pack",1080,PKR,InStock,https://www.naheed.pk/meat-expert-chicken-karahi-cut-premium-cut-fresh-tender-1000g-pack
"Meat Expert Beef Brain/Maghaz, Fresh & Tender ,  1 Piece",950,PKR,InStock,https://www.naheed.pk/meat-expert-beef-brain-maghaz-fresh-tender-1-piece
"Meat Expert Beef Boneless, Premium Cut, Fresh & Tender, 1000g Pack",1850,PKR,InStock,https://www.naheed.pk/meat-expert-beef-boneless-premium-cut-fresh-tender-1000g-pack
"Meat Expert Beef Mince/Qeema, Freshly Minced, 1000g Pack",1850,PKR,InStock,https://www.naheed.pk/meat-expert-beef-mince-qeema-freshly-minced-1000g-pack
"Meat Expert Beef Undercut, Premium Cut, Fresh & Tender, 1000g Pack",4450,PKR,InStock,https://www.naheed.pk/meat-expert-beef-undercut-premium-cut-fresh-tender-1000g-pack
"Meat Expert Beef Boneless Boti Cut, Premium Cut, Fresh & Tender, 1000g Pack",1810,PKR,InStock,https://www.naheed.pk/meat-expert-beef-boneless-boti-cut-premium-cut-fresh-tender-1000g-pack
"Meat Expert Mutton Front Chops, Premium Cut, Fresh & Tender, 1000g Pack",2800,PKR,InStock,https://www.naheed.pk/meat-expert-mutton-front-chops-premium-cut-fresh-tender-1000g-pack
"Meat Expert Mutton Neck Boti, Premium Cut, Fresh & Tender, 1000g Pack",2700,PKR,InStock,https://www.naheed.pk/meat-expert-mutton-neck-boti-premium-cut-fresh-tender-1000g-pack
"Meat Expert Mutton Back Chops, Premium Cut, Fresh & Tender, 1000g Pack",3000,PKR,InStock,https://www.naheed.pk/meat-expert-mutton-back-chops-premium-cut-fresh-tender-1000g-pack
"Meat Expert Mutton Shoulder Cut, Premium Cut, Fresh & Tender, 1000g Pack",3000,PKR,InStock,https://www.naheed.pk/meat-expert-mutton-shoulder-cut-premium-cut-fresh-tender-1000g-pack
"Meat Expert Mutton Mince/Qeema, Freshly Minced, 1000g Pack",2680,PKR,InStock,https://www.naheed.pk/meat-expert-mutton-mince-qeema-freshly-minced-1000g-pack
"Meat Expert Mutton Breast Cut, Premium Cut, Fresh & Tender, 1000g Pack",2350,PKR,InStock,https://www.naheed.pk/meat-expert-mutton-breast-cut-premium-cut-fresh-tender-1000g-pack
"Meat Expert Mutton Mix Boti, Premium Cut, Fresh & Tender, 1000g Pack",2900,PKR,InStock,https://www.naheed.pk/meat-expert-mutton-mix-boti-premium-cut-fresh-tender-1000g-pack
"Meat Expert Mutton Kidney 6 Pieces, Premium Cut, Fresh & Tender, 1000g Pack",570,PKR,InStock,https://www.naheed.pk/meat-expert-mutton-kidney-6-pieces-premium-cut-fresh-tender-1000g-pack
"Meat Expert Mutton Leg Boti, Premium Cut, Fresh & Tender, 1000g Pack",3250,PKR,InStock,https://www.naheed.pk/meat-expert-mutton-leg-boti-premium-cut-fresh-tender-1000g-pack
"Meat Expert Mutton Paya Pack of 6, Premium Cut, Fresh & Tender, 1000g Pack",1050,PKR,InStock,https://www.naheed.pk/meat-expert-mutton-paya-pack-of-6-premium-cut-fresh-tender-1000g-pack
"Earth Bar Natural Rolled Wheat Whole Grain Cereal, 300g",450,PKR,InStock,https://www.naheed.pk/earth-bar-natural-rolled-wheat-whole-grain-cereal-300g
"The Earth's Classic Rolled Barley, Whole Grain Cereal, 300g",550,PKR,InStock,https://www.naheed.pk/the-earth-s-classic-rolled-barley-whole-grain-cereal-300g
Weetabix Bran Flakes 500g,2050,PKR,InStock,https://www.naheed.pk/weetabix-bran-flakes-500g
"The Fruit Company Granola Choco Barks & Oreo, 70% Dark Chocolate, High Protein, Low Carbs, 60g",425,PKR,InStock,https://www.naheed.pk/the-fruit-company-granola-choco-barks-oreo-70-dark-chocolate-high-protein-low-carbs-60g
"Nestle Koko Krunch Cereal, Whole Grain, 300g",1520,PKR,InStock,https://www.naheed.pk/nestle-koko-krunch-cereal-whole-grain-300g
"Kellogg's Corn Flakes, Original, 500g",2165,PKR,InStock,https://www.naheed.pk/kellogg-s-corn-flakes-original-500g
"Kellogg's Corn Flakes, Original 1000g",3725,PKR,InStock,https://www.naheed.pk/kellogg-s-corn-flakes-original-1000g
"Milo Breakfast Cereal, 150g",750,PKR,InStock,https://www.naheed.pk/milo-breakfast-cereal-150g
Fauji Rice Flakes 250gm,615,PKR,InStock,https://www.naheed.pk/fauji-rice-flakes-250gm
Fauji Choco Corn Flakes 250gm,690,PKR,InStock,https://www.naheed.pk/fauji-choco-corn-flakes-250gm
"Fauji Frosted Flakes, No Preservatives, 250g",700,PKR,InStock,https://www.naheed.pk/fauji-frosted-flakes-no-preservatives-250g
Comelle Full Cream Milk Powder 400g,895,PKR,InStock,https://www.naheed.pk/comelle-full-cream-milk-powder-400g
"Alba Corn Flakes, Original, 250g",700,PKR,InStock,https://www.naheed.pk/alba-corn-flakes-original-250g
"Alba Krispy Crunch, High Fiber Delicious Cereal, Gluten, Milk, Soy & Hazelnuts, 250gm",765,PKR,InStock,https://www.naheed.pk/alba-krispy-crunch-high-fiber-delicious-cereal-gluten-milk-soy-hazelnuts-250gm
Fauji Wheat Flakes 250gm,620,PKR,InStock,https://www.naheed.pk/fauji-wheat-flakes-250gm
Fauji Fauji Chocolate Pops 250gm,750,PKR,InStock,https://www.naheed.pk/fauji-fauji-chocolate-pops-250gm
"Alba Instant Wholegrain Oats Flakes Pouch, Soluble Fiber, Reduce Cholesterol, 450g",450,PKR,InStock,https://www.naheed.pk/alba-instant-wholegrain-oats-flakes-pouch-soluble-fiber-reduce-cholesterol-450g
"Nutri Lov Honey Almond Crunchy Cereal, 70g",335,PKR,InStock,https://www.naheed.pk/nutri-lov-crunchy-cereal-honey-almond-70gm
"Kellogg's Special K Original Flakes, 335g",1800,PKR,InStock,https://www.naheed.pk/kellogg-s-special-k-original-flakes-335g
Fauji Corn Flakes 250gm,540,PKR,InStock,https://www.naheed.pk/fauji-corn-flakes-250gm
"Nestle Koko Krunch, Econo Pack, 450g",1850,PKR,InStock,https://www.naheed.pk/nestle-koko-krunch-econo-pack-450g
Fauji Honey Corn Flakes 250gm,690,PKR,InStock,https://www.naheed.pk/fauji-honey-corn-flakes-250gm
"Weetabix Original Wholegrain Cereal, 430g 24-Pack",1899,PKR,InStock,https://www.naheed.pk/weetabix-original-wholegrain-cereal-430g-24-pack
"Fauji Fit-O-Fiber Multigrain Flakes, 250g",680,PKR,InStock,https://www.naheed.pk/fauji-fit-o-fiber-multigrain-flakes-250g
"Milo Breakfast Cereal, 300g",1450,PKR,InStock,https://www.naheed.pk/milo-breakfast-cereal-300g
Weetabix Fruit & Fiber 500g,2320,PKR,InStock,https://www.naheed.pk/weetabix-fruit-fiber-500g
"Nestle Gold Corn Flakes, Whole Grain, 375g",1080,PKR,InStock,https://www.naheed.pk/nestle-gold-corn-flakes-whole-grain-375g
Fauji Corn Flakes Mango 250gm,600,PKR,InStock,https://www.naheed.pk/fauji-corn-flakes-mango-250gm
Fauji Corn Flakes 500gm,945,PKR,InStock,https://www.naheed.pk/fauji-corn-flakes-500gm
"Fauji Choco Chuckles Multigrain Cereal, 250g",770,PKR,InStock,https://www.naheed.pk/fauji-choco-chuckles-multigrain-cereal-250g
Fauji Corn Flakes Strawberry 250gm,600,PKR,InStock,https://www.naheed.pk/fauji-corn-flakes-strawberry-250gm
Milo Cereal 80g Pouch,350,PKR,InStock,https://www.naheed.pk/milo-cereal-80g-pouch
"Dairy Life Pizza Topping Shredded Cheese, 400g",1050,PKR,InStock,https://www.naheed.pk/dairy-life-pizza-topping-shredded-cheese-400g
Puck Cream Cheese Spread 140g,650,PKR,InStock,https://www.naheed.pk/puck-cream-cheese-spread-140g
"Fresh Street Frozen Shredded Cheddar Cheese, Made with Pure Milk, Perfect for Cooking & Snacking, 200g",780,PKR,InStock,https://www.naheed.pk/fresh-street-cheddar-shredded-cheese-200gm
"Dairy Life Pizza Cheese Block, 400g",1250,PKR,InStock,https://www.naheed.pk/dairy-life-pizza-cheese-block-400g
"Dairy Life Mozzarella Cheese  Block, 200g",670,PKR,InStock,https://www.naheed.pk/dairy-life-mozzarella-cheese-block-200g
"Almarai Burger Cheese Slices, 200g",1290,PKR,InStock,https://www.naheed.pk/almarai-burger-cheese-slices-200g
Happy Cow Regular 10 Slices 200g,1230,PKR,InStock,https://www.naheed.pk/happy-cow-regular-10-slices-200g
Happy Cow Regular 60 Slices 840g,3865,PKR,InStock,https://www.naheed.pk/happy-cow-regular-60-slices-840g
Almarai Feta Cheese Full Cream 200g,1200,PKR,InStock,https://www.naheed.pk/almarai-feta-cheese-full-cream-200g
"Deen's Mozzarella Cheese, 200g",650,PKR,InStock,https://www.naheed.pk/deen-s-mozzarella-cheese-200g
"Fresh Street Salted Butter, 200g",720,PKR,InStock,https://www.naheed.pk/fresh-street-salted-butter-200g
"Deen's Cheddatr Slice Cheese, 1kg",1965,PKR,InStock,https://www.naheed.pk/deen-s-cheddatr-slice-cheese-1kg
"Fresh Street Un-Salted Butter Portions, 8g Each, 10-Pack",575,PKR,InStock,https://www.naheed.pk/fresh-street-un-salted-butter-portions-8g-each-10-pack
"Swiss Premium Cheddar Cheese Tin, 180g",575,PKR,InStock,https://www.naheed.pk/swiss-premium-cheddar-cheese-tin-180g
"Fresh Street Un-Salted Butter, 200g",720,PKR,InStock,https://www.naheed.pk/fresh-street-un-salted-butter-200g
Adam's Cheddar Cheese 200g,600,PKR,InStock,https://www.naheed.pk/adam-s-cheddar-cheese-200g
"Nurpur Full Cream Milk Tetra Pack, 250ml",90,PKR,InStock,https://www.naheed.pk/nurpur-full-cream-milk-250ml-tetra-pack
"Deen's Burger Singles Cheese, 10 Singles, Net 200g",555,PKR,InStock,https://www.naheed.pk/deen-s-burger-singles-cheese-10-singles-net-200g
"Fresh Street Crunchy Peanut Butter, 340g + Creamy Biscuit Spread, 380g, Bundle Offer",2300,PKR,InStock,https://www.naheed.pk/fresh-street-crunchy-peanut-butter-340g-creamy-biscuit-spread-380g-bundle-offer
"Fresh Street Mozzarella Shredded Cheese, 200g",780,PKR,InStock,https://www.naheed.pk/fresh-street-mozzarella-shredded-cheese-200g
"Pinar Cheddar Cheese Spread, 500g",2050,PKR,InStock,https://www.naheed.pk/pinar-cheddar-cheese-spread-500g
"Dairy Life Chedder Cheese  Block, 200g",600,PKR,InStock,https://www.naheed.pk/dairy-life-chedder-cheese-block-200g
"Fresh Street Salted Un-Salted Butter, 100g",380,PKR,InStock,https://www.naheed.pk/fresh-street-salted-un-salted-butter-100g
"Fresh Street Peanut Butter, Crunchy, 340g",1250,PKR,InStock,https://www.naheed.pk/fresh-street-peanut-butter-crunchy-340g
"Almarai Cheese Slices, Low Fat, 200g",1370,PKR,InStock,https://www.naheed.pk/almarai-cheese-slices-low-fat-200g
"President Cheddar Cheese Sandwich Slices, 10-Pack",1950,PKR,InStock,https://www.naheed.pk/president-cheddar-cheese-sandwich-slices-10-pack
"Fresh Street Pizza Shredded Cheese, 200g - Premium, Melting Cheese for Pizza, Pasta & More",680,PKR,InStock,https://www.naheed.pk/fresh-street-pizza-shredded-cheese-200g-premium-melting-cheese-for-pizza-pasta-more
Adam's Buffalo Mozzarella Cheese 2 KG,4990,PKR,InStock,https://www.naheed.pk/adam-s-buffalo-mozzarella-cheese-2-kg
Puck Cream Cheese Spread 240g,1075,PKR,InStock,https://www.naheed.pk/puck-cream-cheese-spread-240g
"President 0% Fat Extra Light Cheese, 10 Slices, 200g",2199,PKR,InStock,https://www.naheed.pk/president-0-fat-extra-light-cheese-10-slices-200g
"Fresh Street Garlic & Herbs Butter, 100g",1250,PKR,InStock,https://www.naheed.pk/fresh-street-garlic-herbs-butter-100gm
"Fresh Street Salted Butter, 100g",380,PKR,InStock,https://www.naheed.pk/fresh-street-salted-butter-100g
"Nhat Huong Silver Whip, Non-Dairy Topping Cream, 1 KG",1849,PKR,InStock,https://www.naheed.pk/nhat-huong-silver-whip-non-dairy-topping-cream-1-kg
